TABLE_QUALIFIER                                                                                                                  TABLE_OWNER                                                                                                                      TABLE_NAME                                                                                                                       TABLE_TYPE                       REMARKS                                                                                                                                                                                                                                                       
ODA                                                                                                                              sys                                                                                                                              numbered_procedures                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              objects                                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              openkeys                                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              parameter_type_usages                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              parameter_xml_schema_collection_usages                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              parameters                                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              partition_functions                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              partition_parameters                                                                                                             VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              partition_range_values                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              partition_schemes                                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              partitions                                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              periods                                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              plan_guides                                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              procedures                                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_context_settings                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_plan                                                                                                                 VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_plan_feedback                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_plan_forcing_locations                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_query                                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_query_hints                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_query_text                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_query_variant                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_replicas                                                                                                             VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_runtime_stats                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_runtime_stats_interval                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              query_store_wait_stats                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              registered_search_properties                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              registered_search_property_lists                                                                                                 VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              remote_data_archive_databases                                                                                                    VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              remote_data_archive_tables                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              remote_logins                                                                                                                    VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              remote_service_bindings                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              resource_governor_configuration                                                                                                  VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              resource_governor_external_resource_pool_affinity                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              resource_governor_external_resource_pools                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              resource_governor_resource_pool_affinity                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              resource_governor_resource_pools                                                                                                 VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              resource_governor_workload_groups                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              routes                                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              schemas                                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              securable_classes                                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              security_policies                                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              security_predicates                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              sensitivity_classifications                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              sequences                                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_assembly_modules                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_audit_specification_details                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_audit_specifications                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_audits                                                                                                                    VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_event_notifications                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_event_session_actions                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_event_session_events                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_event_session_fields                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_event_session_targets                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_event_sessions                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_events                                                                                                                    VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_file_audits                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_memory_optimized_hybrid_buffer_pool_configuration                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_permissions                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_principal_credentials                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_principals                                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_role_members                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_sql_modules                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_trigger_events                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              server_triggers                                                                                                                  VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              servers                                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              service_broker_endpoints                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
